time_s,fid_source_v,adc_differential_v
0.0180214,7.45087748e-07,6.349999999999412e-05
0.0180264,6.9990561e-07,8.080000000010301e-05
0.0180314,6.51594609e-07,9.763999999989892e-05
0.0180364,6.00370779e-07,0.00011392999999992881
0.0180414,5.46463179e-07,0.0001295900000002348
0.0180464,4.90112862e-07,0.00014457000000023257
0.0180514,4.315718e-07,0.00015878999999996424
0.0180564,3.71101759e-07,0.00017218000000029932
0.0180614,3.08973127e-07,0.0001846900000002094
0.0180664,2.45463703e-07,0.0001962699999999984
0.0180714,1.80857457e-07,0.0002068600000000309
0.0180764,1.15443262e-07,0.00021641000000016675
0.0180814,4.95135988e-08,0.00022488000000020492
0.0180864,-1.66367501e-08,0.00023222999999994443
0.0180914,-8.27120183e-08,0.0002384399999999509
0.0180964,-1.48416778e-07,0.00024346000000008416
0.0181014,-2.13457262e-07,0.0002472899999999001
0.0181064,-2.77542676e-07,0.0002499000000000251
0.0181114,-3.40386497e-07,0.00025127000000013666
0.0181164,-4.01707759e-07,0.0002514200000001132
0.0181214,-4.61232305e-07,0.0002503300000000763
0.0181264,-5.18694014e-07,0.000248000000000026
0.0181314,-5.73835993e-07,0.00024446000000022394
0.0181364,-6.2641172e-07,0.00023971000000022613
0.0181414,-6.76186152e-07,0.0002337800000002943
0.0181464,-7.22936773e-07,0.00022669000000030692
0.0181514,-7.66454589e-07,0.00021848000000002088
0.0181564,-8.0654506e-07,0.0002091700000002028
0.0181614,-8.43028977e-07,0.00019882000000004396
0.0181664,-8.75743253e-07,0.00018747000000018943
0.0181714,-9.0454166e-07,0.00017516999999989125
0.0181764,-9.2929548e-07,0.00016198000000011703
0.0181814,-9.49894078e-07,0.00014795000000011882
0.0181864,-9.66245399e-07,0.00013313999999997606
0.0181914,-9.78276381e-07,0.00011763000000009072
0.0181964,-9.85933277e-07,0.00010148000000009816
0.0182014,-9.89181898e-07,8.476999999995627e-05
0.0182064,-9.88007767e-07,6.756000000018858e-05
0.0182114,-9.82416179e-07,4.994000000024812e-05
0.0182164,-9.72432181e-07,3.199000000009278e-05
0.0182214,-9.5810046e-07,1.378000000018531e-05
0.0182264,-9.39485138e-07,-4.600000000021254e-06
0.0182314,-9.16669492e-07,-2.308000000006416e-05
0.0182364,-8.89755577e-07,-4.156000000010707e-05
0.0182414,-8.5886377e-07,-5.996999999968722e-05
0.0182464,-8.24132234e-07,-7.821999999979568e-05
0.0182514,-7.85716296e-07,-9.623000000003046e-05
0.0182564,-7.43787756e-07,-0.00011392999999992881
0.0182614,-6.98534118e-07,-0.0001312300000000377
0.0182664,-6.50157748e-07,-0.00014804999999995516
0.0182714,-5.98874976e-07,-0.0001643200000001066
0.0182764,-5.44915122e-07,-0.00017997000000002927
0.0182814,-4.88519472e-07,-0.0001949299999997045
0.0182864,-4.29940203e-07,-0.00020913000000000181
0.0182914,-3.6943925e-07,-0.00022250000000001435
0.0182964,-3.07287139e-07,-0.000234990000000046
0.0183014,-2.43761775e-07,-0.0002465400000000173
0.0183064,-1.79147199e-07,-0.00025709999999978805
0.0183114,-1.1373232e-07,-0.00026663000000004544
0.0183164,-4.78096229e-08,-0.00027506999999982185
0.0183214,1.83261414e-08,-0.0002823899999997437
0.0183264,8.43792717e-08,-0.0002885699999999325
0.0183314,1.5005444e-07,-0.000293559999999804
0.0183364,2.1505801e-07,-0.0002973599999998022
0.0183414,2.79099352e-07,-0.00029994000000010956
0.0183464,3.41892144e-07,-0.00030127999999995936
0.0183514,4.03155644e-07,-0.00030140000000011824
0.0183564,4.62615955e-07,-0.00030026999999988035
0.0183614,5.20007245e-07,-0.00029791999999995156
0.0183664,5.75072932e-07,-0.00029434999999988776
0.0183714,6.27566838e-07,-0.00028957000000007227
0.0183764,6.77254286e-07,-0.0002836099999998787
0.0183814,7.23913148e-07,-0.0002764900000000736
0.0183864,7.67334839e-07,-0.0002682499999999699
0.0183914,8.07325252e-07,-0.0002589199999998293
0.0183964,8.43705623e-07,-0.00024853999999985277
0.0184014,8.76313329e-07,-0.00023717000000011978
0.0184064,9.05002619e-07,-0.00022484000000000393
0.0184114,9.29645261e-07,-0.00021162999999990717
0.0184164,9.50131118e-07,-0.0001975800000000305
0.0184214,9.66368641e-07,-0.0001827500000000093
0.0184264,9.78285273e-07,-0.00016722999999974064
0.0184314,9.85827782e-07,-0.00015105999999986963
0.0184364,9.88962489e-07,-0.0001343299999998493
0.0184414,9.87675426e-07,-0.0001171200000000816
0.0184464,9.81972392e-07,-9.948999999975783e-05
0.0184514,9.71878935e-07,-8.153000000010735e-05
0.0184564,9.57440228e-07,-6.330999999981657e-05
0.0184614,9.38720875e-07,-4.493000000005409e-05
0.0184664,9.15804615e-07,-2.6450000000011187e-05
0.0184714,8.88793954e-07,-7.96999999996828e-06
0.0184764,8.57809702e-07,1.0430000000116735e-05
0.0184814,8.22990435e-07,2.8680000000225192e-05
0.0184864,7.84491871e-07,4.668000000007666e-05
0.0184914,7.42486181e-07,6.437000000003579e-05
0.0184964,6.97161213e-07,8.166000000020546e-05
0.0185014,6.48719653e-07,9.846000000024446e-05
0.0185064,5.97378121e-07,0.00011472000000001259
0.0185114,5.433662e-07,0.0001303500000000568
0.0185164,4.86925409e-07,0.00014529000000029768
0.0185214,4.28308126e-07,0.00015947000000027245
0.0185264,3.67776458e-07,0.00017281999999996245
0.0185314,3.05601066e-07,0.00018529000000011564
0.0185364,2.42059959e-07,0.00019681000000026927
0.0185414,1.7743725e-07,0.00020735000000016157
0.0185464,1.12021884e-07,0.0002168500000001572
0.0185514,4.61063467e-08,0.00022526000000011592
0.0185564,-2.00146422e-08,0.0002325600000001593
0.0185614,-8.60454479e-08,0.00023870000000014713
0.0185664,-1.51690842e-07,0.00024367000000014016
0.0185714,-2.16657322e-07,0.0002474299999999374
0.0185764,-2.80654424e-07,0.000249979999999983
0.0185814,-3.43396022e-07,0.00025129999999995434
0.0185864,-4.04601606e-07,0.00025137999999991223
0.0185914,-4.63997537e-07,0.00025022000000030076
0.0185964,-5.21318269e-07,0.0002478400000001102
0.0186014,-5.76307538e-07,0.0002442300000002895
0.0186064,-6.28719507e-07,0.00023943000000015147
0.0186114,-6.78319865e-07,0.0002334400000001402
0.0186164,-7.24886873e-07,0.00022629000000007338
0.0186214,-7.68212358e-07,0.00021802000000015198
0.0186264,-8.08102643e-07,0.0002086600000001937
0.0186314,-8.4437941e-07,0.00019825999999989463
0.0186364,-8.76880501e-07,0.00018685999999989988
0.0186414,-9.05460641e-07,0.0001745200000002889
0.0186464,-9.29992087e-07,0.00016127999999993037
0.0186514,-9.50365198e-07,0.00014721000000017526
0.0186564,-9.66488929e-07,0.00013237000000021482
0.0186614,-9.78291234e-07,0.00011683000000006771
0.0186664,-9.8571939e-07,0.00010065000000025748
0.0186714,-9.88740229e-07,8.391000000029791e-05
0.0186764,-9.87340293e-07,6.668000000020768e-05
0.0186814,-9.81525887e-07,4.9039999999944683e-05
0.0186864,-9.71323054e-07,3.106999999991089e-05
0.0186914,-9.56777459e-07,1.2860000000003424e-05
0.0186964,-9.3795418e-07,-5.529999999698276e-06
0.0187014,-9.14937425e-07,-2.4009999999741183e-05
0.0187064,-8.87830148e-07,-4.248999999978409e-05
0.0187114,-8.56753589e-07,-6.0889999999869104e-05
0.0187164,-8.21846737e-07,-7.913000000003834e-05
0.0187214,-7.83265704e-07,-9.711999999995058e-05
0.0187264,-7.41183028e-07,-0.00011479999999997048
0.0187314,-6.95786901e-07,-0.0001320699999998176
0.0187364,-6.47280328e-07,-0.00014886999999985662
0.0187414,-5.95880219e-07,-0.0001651099999997463
0.0187464,-5.41816418e-07,-0.0001807299999998513
0.0187514,-4.85330677e-07,-0.00019564999999976962
0.0187564,-4.26675575e-07,-0.0002097999999999267
0.0187614,-3.66113387e-07,-0.00022312999999973826
0.0187664,-3.03914912e-07,-0.00023557000000007378
0.0187714,-2.40358261e-07,-0.0002470799999998441
0.0187764,-1.75727617e-07,-0.0002575899999999187
0.0187814,-1.10311959e-07,-0.00026706000000009666
0.0187864,-4.4403775e-08,-0.00027543999999979363
0.0187914,2.1702248e-08,-0.00028271000000001933
